TOT,pH,NACL,pKa
0.097217421,8.5,0,6.21349693
0.020001219,8,0,6.765541291
0.097291302,8,0,6.231601124
0.020003036,7.6,0.150068446,6.686147486
0.009999457,7.4,0.150068446,6.899124925
0.019997712,7,1,6.200644092
0.019999738,7,1.020020534,6.213760275
0.020006985,7,0.979979466,6.214878151
0.020004197,7.2,0.5,6.441645936
0.020036525,7.5,0,6.843932459
0.025000987,7.4,0.5,6.688232432
0.020036218,6.8,1.020020534,6.212558273
0.019980269,6.8,0.979979466,6.216010714
0.020033024,7,0.5,6.430708459
0.020197523,7.5,0,6.969033903
0.09746713,7.5,0,6.268199061
0.019996629,6.8,0.5,6.375976667
0.02000656,6.6,1.020020534,6.21373065
0.019992674,6.6,1,6.214918199
0.020010914,6.75,0.5,6.430840183
0.020001892,7.2,0,6.898955589
0.050000513,7.4,0.300821355,6.598447525
0.019961905,6.7,0.5,6.432477679
0.019997531,6.7,0.490075291,6.432668398
0.020021292,6.6,0.5,6.433649694
0.100053967,7.4,0.599931554,6.366560885
0.019999342,7,0,6.921191145
0.019994932,6.9,0,6.82961227
0.019981249,6.5,0.5,6.431430666
0.020001362,6.2,1,6.215111276
0.020013676,6.4,0.5,6.430933846
0.019977686,6.8,0,6.940891397
0.019993899,6.75,0,6.942304679
0.020002006,6,1,6.218463045
0.020010112,6.7,0,6.944993819
0.019978078,6.6,0,6.931269688
0.019995759,6.3,0,6.722244991
0.020001028,6,0.5,6.44259135
0.019990588,6.5,0,6.958120031
0.050017029,7,0.150068446,6.640810722
0.020000567,6.2,0.1,6.729122974
0.020003202,6,0.106947296,6.540566822
0.020002895,6,0.150068446,6.604858671
0.020002895,6,0.150068446,6.604858671
0.019998227,6,0.1,6.730754748
0.020001162,6.2,0,7.039421138
0.020001162,6.2,0,7.039421138
0.01999604,6,0,6.966037954
0.01999604,6,0,6.966037954
0.019996948,5.8,0,6.918040339
0.020545274,5.8,0.5,7.409229495
0.04995211,6.5,0.5,6.430178864
0.500001288,8,0,6.764963
0.099957045,6.8,0.5,6.383234378
0.101967016,6.9,0.254996578,6.530974952
0.050036182,6,1,6.212398381
0.0499779,6.2,0.5,6.429852357
0.050000242,6.15,0.5,6.418929232
0.050000082,6.5,0,6.817658557
0.09999526,6.8,0.25,6.528188056
0.05001487,6.05,0.5,6.429701051
0.099984862,7,0,6.754639801
0.050037653,5.9,0.490075291,6.429530571
0.049995583,6.3,0,6.882988368
0.050046249,6.2,0,6.883354574
0.049997031,6.1,0,6.886169285
0.04999404,6.05,0,6.846867781
0.050004879,6,0,6.865210544
0.050007759,5.9,0,6.890007295
0.049982769,5.8,0,6.891227422
0.049974858,5.7,0,6.892449613
0.109982331,6.9,0.265006845,6.791122731
0.109996419,6.9,0.265006845,6.791023815
0.110077142,6.9,0.234993155,6.808423602
0.100041433,6.5,0,6.624629175
0.110003887,6.7,0.265006845,6.791002504
0.10089337,6.9,0.049965777,7.185467674
0.250000774,6.8,0.1,6.430686624
0.10150219,6,0,6.518512011
0.245002234,6.7,0.102002053,6.429360764
0.102362801,5.5,0,6.526334605
0.500000858,6.5,0,6.515421823
1.000026903,7.2,0,9.376164618
1.000026903,7.2,0,9.376164618
