TOT,pH,HA,A,NACL,pKa
0.025000794,9,0.002753807,0.022246987,0,8.092662316
0.025007014,9,0.003775381,0.021231633,1,8.249977358
0.010002967,8,0.006040609,0.003962358,2,8.183127067
0.009994586,7.7,0.007055838,0.002938749,0,8.080386145
0.009961437,6.4,0.009771574,0.000189863,0,8.111524241
0.02489992,8,0.014498731,0.010401189,0.033008214,8.144247015
0.099996944,8.5,0.015095178,0.084901767,2,7.749921502
0.025013577,8,0.01535533,0.009658247,0.099931554,8.20136086
0.024906077,8,0.015602792,0.009303285,0.5,8.224565969
0.024902379,8,0.016300761,0.008601618,0.01670089,8.277627741
0.020000686,7.4,0.016541878,0.003458808,0.15,8.079658364
0.020025389,7.5,0.016624365,0.003401024,0.15,8.189135431
0.025022691,8,0.016751269,0.008271421,1,8.306467562
0.019976352,7.4,0.016814721,0.003161631,0,8.125778456
0.020004689,7.4,0.01713198,0.002872709,0.5,8.175515876
0.019970067,7.4,0.017576142,0.002393924,1,8.265813127
0.019997108,7,0.018775381,0.001221727,0.15,8.186614606
0.025002476,7.5,0.02,0.005002476,0.5,8.101844941
0.025003708,7.5,0.020050761,0.004952947,0.299965777,8.107267188
0.024897627,7.5,0.020101523,0.004796104,0,8.122340397
0.02498239,7.4,0.021383249,0.003599141,0.100102669,8.173874768
0.149898239,9,0.021402284,0.128495955,0.5,8.221570671
0.024996313,7.4,0.021446701,0.003549612,0.5,8.181179601
0.025000254,7.4,0.022119289,0.002880964,1,8.285233312
0.024975979,7,0.023159898,0.001816081,0.299965777,8.10560154
0.025018238,7,0.023540609,0.001477629,2,8.202252235
0.025018238,7,0.023540609,0.001477629,4,8.202252235
0.025007396,7,0.023604061,0.001403335,0.099931554,8.225825375
0.099997776,8.5,0.027544416,0.07245336,0,8.079975044
0.050030841,7.8,0.034263959,0.015766881,0,8.137091749
0.100004778,8,0.035996193,0.064008585,2,7.750018343
0.050000136,7.5,0.044733503,0.005266634,0,8.429099794
0.049998533,7,0.045177665,0.004820868,0,7.971798503
0.099953917,8,0.051332487,0.04862143,0,8.023564583
0.09993725,8,0.065101523,0.034835727,0.5,8.271566266
0.100026535,7.5,0.081535533,0.018491002,0,8.144386466
0.100045014,7.5,0.082296954,0.01774806,0,8.166232872
0.100001521,7.4,0.082715736,0.017285785,0.1,8.079899031
0.09993659,7.5,0.082931472,0.017005118,0.400068446,8.188139723
0.100024063,7.5,0.084835025,0.015189037,0.599931554,8.24704494
0.100017285,7.5,0.085406091,0.014611194,0.5,8.26680315
0.099985481,7.1,0.092258883,0.007726597,0.419917864,8.177019914
0.10000815,7.1,0.09251269,0.00749546,0.380047912,8.191403032
0.149898677,8,0.093699239,0.056199439,0.5,8.222004084
0.099986832,7,0.093845178,0.006141654,0.400068446,8.184126595
0.099988801,7,0.094606599,0.005382202,0.599931554,8.244961404
0.100011471,7,0.094860406,0.005151065,0.5,8.265187959
0.100014551,6.9,0.09498731,0.005027241,0.419917864,8.176335864
0.099992866,6.9,0.095114213,0.004878653,0.380047912,8.189945508
0.100066416,6.5,0.096954315,0.003112102,0,7.99351336
0.100021444,6.5,0.097652284,0.00236916,0.200034223,8.115088079
0.100008506,6.5,0.097969543,0.002038963,0.400068446,8.181681699
0.099989901,6.5,0.09822335,0.001766551,0.599931554,8.245088539
0.17499648,7.4,0.153426396,0.021570084,0.075,8.252048243
1.000002766,8.4,0.377664975,0.622337791,0,8.183080535
0.999987869,8.3,0.422969543,0.577018326,0,8.16511949
0.999996093,7,0.93572335,0.064272742,0,8.163120637
2.999853423,8.5,0.983756345,2.016097078,0,8.188376106
2.000009512,8,1.139847716,0.860161796,0,8.122266684
2.000049582,7.5,1.628743655,0.371305927,0,8.142120855
